GWh,Jahr,Kraftwerkstyp
31273,1970,Wasserkraftwerke
1850,1970,Kernkraftwerke
1763,1970,Konventionell thermische Kraftwerke
"""...""",1970,Diverse Erneuerbare
34886,1970,Bruttoerzeugung
965,1970,>> Abzüglich Verbrauch der Speicherpumpen
33921,1970,Nettoerzeugung
27563,1971,Wasserkraftwerke
1843,1971,Kernkraftwerke
2181,1971,Konventionell thermische Kraftwerke
"""...""",1971,Diverse Erneuerbare
31587,1971,Bruttoerzeugung
1377,1971,>> Abzüglich Verbrauch der Speicherpumpen
30210,1971,Nettoerzeugung
25277,1972,Wasserkraftwerke
4650,1972,Kernkraftwerke
2371,1972,Konventionell thermische Kraftwerke
"""...""",1972,Diverse Erneuerbare
32298,1972,Bruttoerzeugung
1644,1972,>> Abzüglich Verbrauch der Speicherpumpen
30654,1972,Nettoerzeugung
28825,1973,Wasserkraftwerke
5896,1973,Kernkraftwerke
2434,1973,Konventionell thermische Kraftwerke
"""...""",1973,Diverse Erneuerbare
37155,1973,Bruttoerzeugung
1724,1973,>> Abzüglich Verbrauch der Speicherpumpen
35431,1973,Nettoerzeugung
28563,1974,Wasserkraftwerke
6730,1974,Kernkraftwerke
2117,1974,Konventionell thermische Kraftwerke
"""...""",1974,Diverse Erneuerbare
37410,1974,Bruttoerzeugung
1541,1974,>> Abzüglich Verbrauch der Speicherpumpen
35869,1974,Nettoerzeugung
33974,1975,Wasserkraftwerke
7391,1975,Kernkraftwerke
1629,1975,Konventionell thermische Kraftwerke
"""...""",1975,Diverse Erneuerbare
42994,1975,Bruttoerzeugung
1198,1975,>> Abzüglich Verbrauch der Speicherpumpen
41796,1975,Nettoerzeugung
26622,1976,Wasserkraftwerke
7561,1976,Kernkraftwerke
2058,1976,Konventionell thermische Kraftwerke
"""...""",1976,Diverse Erneuerbare
36241,1976,Bruttoerzeugung
1344,1976,>> Abzüglich Verbrauch der Speicherpumpen
34897,1976,Nettoerzeugung
36290,1977,Wasserkraftwerke
7728,1977,Kernkraftwerke
1885,1977,Konventionell thermische Kraftwerke
"""...""",1977,Diverse Erneuerbare
45903,1977,Bruttoerzeugung
1277,1977,>> Abzüglich Verbrauch der Speicherpumpen
44626,1977,Nettoerzeugung
32510,1978,Wasserkraftwerke
7995,1978,Kernkraftwerke
1845,1978,Konventionell thermische Kraftwerke
"""...""",1978,Diverse Erneuerbare
42350,1978,Bruttoerzeugung
1361,1978,>> Abzüglich Verbrauch der Speicherpumpen
40989,1978,Nettoerzeugung
32345,1979,Wasserkraftwerke
11243,1979,Kernkraftwerke
1963,1979,Konventionell thermische Kraftwerke
"""...""",1979,Diverse Erneuerbare
45551,1979,Bruttoerzeugung
1586,1979,>> Abzüglich Verbrauch der Speicherpumpen
43965,1979,Nettoerzeugung
33542,1980,Wasserkraftwerke
13663,1980,Kernkraftwerke
957,1980,Konventionell thermische Kraftwerke
"""...""",1980,Diverse Erneuerbare
48162,1980,Bruttoerzeugung
1531,1980,>> Abzüglich Verbrauch der Speicherpumpen
46631,1980,Nettoerzeugung
36097,1981,Wasserkraftwerke
14462,1981,Kernkraftwerke
956,1981,Konventionell thermische Kraftwerke
"""...""",1981,Diverse Erneuerbare
51515,1981,Bruttoerzeugung
1395,1981,>> Abzüglich Verbrauch der Speicherpumpen
50120,1981,Nettoerzeugung
37035,1982,Wasserkraftwerke
14276,1982,Kernkraftwerke
974,1982,Konventionell thermische Kraftwerke
"""...""",1982,Diverse Erneuerbare
52285,1982,Bruttoerzeugung
1532,1982,>> Abzüglich Verbrauch der Speicherpumpen
50753,1982,Nettoerzeugung
36002,1983,Wasserkraftwerke
14821,1983,Kernkraftwerke
996,1983,Konventionell thermische Kraftwerke
"""...""",1983,Diverse Erneuerbare
51819,1983,Bruttoerzeugung
1346,1983,>> Abzüglich Verbrauch der Speicherpumpen
50473,1983,Nettoerzeugung
30872,1984,Wasserkraftwerke
17396,1984,Kernkraftwerke
884,1984,Konventionell thermische Kraftwerke
"""...""",1984,Diverse Erneuerbare
49152,1984,Bruttoerzeugung
1444,1984,>> Abzüglich Verbrauch der Speicherpumpen
47708,1984,Nettoerzeugung
32677,1985,Wasserkraftwerke
21281,1985,Kernkraftwerke
869,1985,Konventionell thermische Kraftwerke
"""...""",1985,Diverse Erneuerbare
54827,1985,Bruttoerzeugung
1364,1985,>> Abzüglich Verbrauch der Speicherpumpen
53463,1985,Nettoerzeugung
33589,1986,Wasserkraftwerke
21303,1986,Kernkraftwerke
988,1986,Konventionell thermische Kraftwerke
"""...""",1986,Diverse Erneuerbare
55880,1986,Bruttoerzeugung
1461,1986,>> Abzüglich Verbrauch der Speicherpumpen
54419,1986,Nettoerzeugung
35412,1987,Wasserkraftwerke
21701,1987,Kernkraftwerke
1048,1987,Konventionell thermische Kraftwerke
"""...""",1987,Diverse Erneuerbare
58161,1987,Bruttoerzeugung
1564,1987,>> Abzüglich Verbrauch der Speicherpumpen
56597,1987,Nettoerzeugung
36439,1988,Wasserkraftwerke
21502,1988,Kernkraftwerke
1023,1988,Konventionell thermische Kraftwerke
"""...""",1988,Diverse Erneuerbare
58964,1988,Bruttoerzeugung
1445,1988,>> Abzüglich Verbrauch der Speicherpumpen
57519,1988,Nettoerzeugung
30485,1989,Wasserkraftwerke
21543,1989,Kernkraftwerke
1082,1989,Konventionell thermische Kraftwerke
"""...""",1989,Diverse Erneuerbare
53110,1989,Bruttoerzeugung
1454,1989,>> Abzüglich Verbrauch der Speicherpumpen
51656,1989,Nettoerzeugung
30675,1990,Wasserkraftwerke
22298,1990,Kernkraftwerke
1013,1990,Konventionell thermische Kraftwerke
88,1990,Diverse Erneuerbare
54074,1990,Bruttoerzeugung
1695,1990,>> Abzüglich Verbrauch der Speicherpumpen
52379,1990,Nettoerzeugung
33082,1991,Wasserkraftwerke
21654,1991,Kernkraftwerke
1247,1991,Konventionell thermische Kraftwerke
95,1991,Diverse Erneuerbare
56078,1991,Bruttoerzeugung
1946,1991,>> Abzüglich Verbrauch der Speicherpumpen
54132,1991,Nettoerzeugung
33725,1992,Wasserkraftwerke
22121,1992,Kernkraftwerke
1393,1992,Konventionell thermische Kraftwerke
109,1992,Diverse Erneuerbare
57348,1992,Bruttoerzeugung
1438,1992,>> Abzüglich Verbrauch der Speicherpumpen
55910,1992,Nettoerzeugung
36253,1993,Wasserkraftwerke
22029,1993,Kernkraftwerke
913,1993,Konventionell thermische Kraftwerke
118,1993,Diverse Erneuerbare
59313,1993,Bruttoerzeugung
