Wert,Jahr,Primärenergieträger,Einheit
99990,1910,Primärenergieträger - Total,In TJ
100,1910,Primärenergieträger - Total,Anteil in %
240,1910,Erdölbrennstoffe,In TJ
0.24002400240024,1910,Erdölbrennstoffe,Anteil in %
500,1910,Treibstoffe,In TJ
0.5000500050005,1910,Treibstoffe,Anteil in %
3530,1910,Elektrizität,In TJ
3.53035303530353,1910,Elektrizität,Anteil in %
2220,1910,Gas,In TJ
2.22022202220222,1910,Gas,Anteil in %
76310,1910,Kohle,In TJ
76.31763176317632,1910,Kohle,Anteil in %
17190,1910,Holz und Holzkohle,In TJ
17.19171917191719,1910,Holz und Holzkohle,Anteil in %
"""...""",1910,Fernwärme,In TJ
"""...""",1910,Fernwärme,Anteil in %
"""...""",1910,Abfälle,In TJ
"""...""",1910,Abfälle,Anteil in %
"""...""",1910,Übrige erneuerbare Energien,In TJ
"""...""",1910,Übrige erneuerbare Energien,Anteil in %
109490,1911,Primärenergieträger - Total,In TJ
100,1911,Primärenergieträger - Total,Anteil in %
340,1911,Erdölbrennstoffe,In TJ
0.310530642067769,1911,Erdölbrennstoffe,Anteil in %
620,1911,Treibstoffe,In TJ
0.566261759064755,1911,Treibstoffe,Anteil in %
4330,1911,Elektrizität,In TJ
3.95469905927482,1911,Elektrizität,Anteil in %
2350,1911,Gas,In TJ
2.14631473193899,1911,Gas,Anteil in %
84660,1911,Kohle,In TJ
77.32212987487442,1911,Kohle,Anteil in %
17190,1911,Holz und Holzkohle,In TJ
15.70006393277925,1911,Holz und Holzkohle,Anteil in %
"""...""",1911,Fernwärme,In TJ
"""...""",1911,Fernwärme,Anteil in %
"""...""",1911,Abfälle,In TJ
"""...""",1911,Abfälle,Anteil in %
"""...""",1911,Übrige erneuerbare Energien,In TJ
"""...""",1911,Übrige erneuerbare Energien,Anteil in %
111190,1912,Primärenergieträger - Total,In TJ
100,1912,Primärenergieträger - Total,Anteil in %
350,1912,Erdölbrennstoffe,In TJ
0.314776508678838,1912,Erdölbrennstoffe,Anteil in %
660,1912,Treibstoffe,In TJ
0.593578559222952,1912,Treibstoffe,Anteil in %
5040,1912,Elektrizität,In TJ
4.532781724975267,1912,Elektrizität,Anteil in %
2570,1912,Gas,In TJ
2.311358935156039,1912,Gas,Anteil in %
85380,1912,Kohle,In TJ
76.78748088856912,1912,Kohle,Anteil in %
17190,1912,Holz und Holzkohle,In TJ
15.46002338339779,1912,Holz und Holzkohle,Anteil in %
"""...""",1912,Fernwärme,In TJ
"""...""",1912,Fernwärme,Anteil in %
"""...""",1912,Abfälle,In TJ
"""...""",1912,Abfälle,Anteil in %
"""...""",1912,Übrige erneuerbare Energien,In TJ
"""...""",1912,Übrige erneuerbare Energien,Anteil in %
115670,1913,Primärenergieträger - Total,In TJ
100,1913,Primärenergieträger - Total,Anteil in %
340,1913,Erdölbrennstoffe,In TJ
0.293939655917697,1913,Erdölbrennstoffe,Anteil in %
690,1913,Treibstoffe,In TJ
0.596524595832973,1913,Treibstoffe,Anteil in %
5450,1913,Elektrizität,In TJ
4.71167977868073,1913,Elektrizität,Anteil in %
2550,1913,Gas,In TJ
2.204547419382727,1913,Gas,Anteil in %
89450,1913,Kohle,In TJ
77.33206535834702,1913,Kohle,Anteil in %
17190,1913,Holz und Holzkohle,In TJ
14.86124319183885,1913,Holz und Holzkohle,Anteil in %
"""...""",1913,Fernwärme,In TJ
"""...""",1913,Fernwärme,Anteil in %
"""...""",1913,Abfälle,In TJ
"""...""",1913,Abfälle,Anteil in %
"""...""",1913,Übrige erneuerbare Energien,In TJ
"""...""",1913,Übrige erneuerbare Energien,Anteil in %
112640,1914,Primärenergieträger - Total,In TJ
100,1914,Primärenergieträger - Total,Anteil in %
150,1914,Erdölbrennstoffe,In TJ
0.133167613636364,1914,Erdölbrennstoffe,Anteil in %
520,1914,Treibstoffe,In TJ
0.461647727272727,1914,Treibstoffe,Anteil in %
5670,1914,Elektrizität,In TJ
5.033735795454546,1914,Elektrizität,Anteil in %
2570,1914,Gas,In TJ
2.281605113636364,1914,Gas,Anteil in %
86900,1914,Kohle,In TJ
77.1484375,1914,Kohle,Anteil in %
16830,1914,Holz und Holzkohle,In TJ
14.94140625,1914,Holz und Holzkohle,Anteil in %
"""...""",1914,Fernwärme,In TJ
"""...""",1914,Fernwärme,Anteil in %
"""...""",1914,Abfälle,In TJ
"""...""",1914,Abfälle,Anteil in %
"""...""",1914,Übrige erneuerbare Energien,In TJ
"""...""",1914,Übrige erneuerbare Energien,Anteil in %
112061,1915,Primärenergieträger - Total,In TJ
100,1915,Primärenergieträger - Total,Anteil in %
41,1915,Erdölbrennstoffe,In TJ
0.036587215891345,1915,Erdölbrennstoffe,Anteil in %
450,1915,Treibstoffe,In TJ
0.401567003685493,1915,Treibstoffe,Anteil in %
6240,1915,Elektrizität,In TJ
5.568395784438833,1915,Elektrizität,Anteil in %
2660,1915,Gas,In TJ
2.373707177340913,1915,Gas,Anteil in %
87740,1915,Kohle,In TJ
78.29664200747807,1915,Kohle,Anteil in %
14930,1915,Holz und Holzkohle,In TJ
13.32310081116535,1915,Holz und Holzkohle,Anteil in %
"""...""",1915,Fernwärme,In TJ
"""...""",1915,Fernwärme,Anteil in %
"""...""",1915,Abfälle,In TJ
"""...""",1915,Abfälle,Anteil in %
"""...""",1915,Übrige erneuerbare Energien,In TJ
"""...""",1915,Übrige erneuerbare Energien,Anteil in %
105292,1916,Primärenergieträger - Total,In TJ
100,1916,Primärenergieträger - Total,Anteil in %
12,1916,Erdölbrennstoffe,In TJ
0.011396877255632,1916,Erdölbrennstoffe,Anteil in %
170,1916,Treibstoffe,In TJ
0.161455761121453,1916,Treibstoffe,Anteil in %
6840,1916,Elektrizität,In TJ
6.496220035710215,1916,Elektrizität,Anteil in %
2900,1916,Gas,In TJ
2.754245336777723,1916,Gas,Anteil in %
82780,1916,Kohle,In TJ
78.61945826843444,1916,Kohle,Anteil in %
12590,1916,Holz und Holzkohle,In TJ
11.95722372070053,1916,Holz und Holzkohle,Anteil in %
"""...""",1916,Fernwärme,In TJ
"""...""",1916,Fernwärme,Anteil in %
"""...""",1916,Abfälle,In TJ
"""...""",1916,Abfälle,Anteil in %
"""...""",1916,Übrige erneuerbare Energien,In TJ
"""...""",1916,Übrige erneuerbare Energien,Anteil in %
92023,1917,Primärenergieträger - Total,In TJ
100,1917,Primärenergieträger - Total,Anteil in %
3,1917,Erdölbrennstoffe,In TJ
0.003260054551579,1917,Erdölbrennstoffe,Anteil in %
310,1917,Treibstoffe,In TJ
0.336872303663215,1917,Treibstoffe,Anteil in %
7560,1917,Elektrizität,In TJ
8.215337469980332,1917,Elektrizität,Anteil in %
2190,1917,Gas,In TJ
2.379839822653032,1917,Gas,Anteil in %
68380,1917,Kohle,In TJ
74.30751007900199,1917,Kohle,Anteil in %
13580,1917,Holz und Holzkohle,In TJ
14.75718027014985,1917,Holz und Holzkohle,Anteil in %
"""...""",1917,Fernwärme,In TJ
"""...""",1917,Fernwärme,Anteil in %
"""...""",1917,Abfälle,In TJ
"""...""",1917,Abfälle,Anteil in %
"""...""",1917,Übrige erneuerbare Energien,In TJ
"""...""",1917,Übrige erneuerbare Energien,Anteil in %
92820,1918,Primärenergieträger - Total,In TJ
100,1918,Primärenergieträger - Total,Anteil in %
10,1918,Erdölbrennstoffe,In TJ
0.010773540185305,1918,Erdölbrennstoffe,Anteil in %
290,1918,Treibstoffe,In TJ
0.312432665373842,1918,Treibstoffe,Anteil in %
8390,1918,Elektrizität,In TJ
9.039000215470804,1918,Elektrizität,Anteil in %
1920,1918,Gas,In TJ
2.068519715578539,1918,Gas,Anteil in %
63880,1918,Kohle,In TJ
68.82137470372764,1918,Kohle,Anteil in %
18330,1918,Holz und Holzkohle,In TJ
19.74789915966387,1918,Holz und Holzkohle,Anteil in %
"""...""",1918,Fernwärme,In TJ
"""...""",1918,Fernwärme,Anteil in %
"""...""",1918,Abfälle,In TJ
"""...""",1918,Abfälle,Anteil in %
"""...""",1918,Übrige erneuerbare Energien,In TJ
"""...""",1918,Übrige erneuerbare Energien,Anteil in %
78989,1919,Primärenergieträger - Total,In TJ
100,1919,Primärenergieträger - Total,Anteil in %
49,1919,Erdölbrennstoffe,In TJ
0.062033954094874,1919,Erdölbrennstoffe,Anteil in %
590,1919,Treibstoffe,In TJ
0.746939447264809,1919,Treibstoffe,Anteil in %
8140,1919,Elektrizität,In TJ
10.30523237412804,1919,Elektrizität,Anteil in %
1850,1919,Gas,In TJ
2.342098266847283,1919,Gas,Anteil in %
48610,1919,Kohle,In TJ
61.5402144602413,1919,Kohle,Anteil in %
19750,1919,Holz und Holzkohle,In TJ
25.00348149742369,1919,Holz und Holzkohle,Anteil in %
"""...""",1919,Fernwärme,In TJ
"""...""",1919,Fernwärme,Anteil in %
"""...""",1919,Abfälle,In TJ
"""...""",1919,Abfälle,Anteil in %
"""...""",1919,Übrige erneuerbare Energien,In TJ
