Wert,Jahr,Energietyp,Aus-/ Einfuhr
"""...""",1970,Holz und Holzkohle (TJ),Einfuhr
"""...""",1970,Holz und Holzkohle (TJ),Ausfuhr
"""...""",1970,Holz und Holzkohle (TJ),Saldo
13359,1970,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
256,1970,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
13103,1970,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
827,1970,Kohle (in 1000 t),Einfuhr
64,1970,Kohle (in 1000 t),Ausfuhr
763,1970,Kohle (in 1000 t),Saldo
1540,1970,Gas (TJ),Einfuhr
90,1970,Gas (TJ),Ausfuhr
1450,1970,Gas (TJ),Saldo
"""...""",1970,Biotreibstoffe (TJ),Einfuhr
"""...""",1970,Biotreibstoffe (TJ),Ausfuhr
"""...""",1970,Biotreibstoffe (TJ),Saldo
3594,1970,Elektrizität (GWh),Einfuhr
9619,1970,Elektrizität (GWh),Ausfuhr
-6025,1970,Elektrizität (GWh),Saldo
"""...""",1975,Holz und Holzkohle (TJ),Einfuhr
"""...""",1975,Holz und Holzkohle (TJ),Ausfuhr
"""...""",1975,Holz und Holzkohle (TJ),Saldo
12711,1975,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
140,1975,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12571,1975,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
321,1975,Kohle (in 1000 t),Einfuhr
25,1975,Kohle (in 1000 t),Ausfuhr
296,1975,Kohle (in 1000 t),Saldo
21680,1975,Gas (TJ),Einfuhr
30,1975,Gas (TJ),Ausfuhr
21650,1975,Gas (TJ),Saldo
"""...""",1975,Biotreibstoffe (TJ),Einfuhr
"""...""",1975,Biotreibstoffe (TJ),Ausfuhr
"""...""",1975,Biotreibstoffe (TJ),Saldo
4635,1975,Elektrizität (GWh),Einfuhr
14360,1975,Elektrizität (GWh),Ausfuhr
-9725,1975,Elektrizität (GWh),Saldo
220,1980,Holz und Holzkohle (TJ),Einfuhr
"""...""",1980,Holz und Holzkohle (TJ),Ausfuhr
"""...""",1980,Holz und Holzkohle (TJ),Saldo
12705,1980,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
47,1980,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
12658,1980,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
773,1980,Kohle (in 1000 t),Einfuhr
0,1980,Kohle (in 1000 t),Ausfuhr
773,1980,Kohle (in 1000 t),Saldo
36280,1980,Gas (TJ),Einfuhr
650,1980,Gas (TJ),Ausfuhr
35630,1980,Gas (TJ),Saldo
"""...""",1980,Biotreibstoffe (TJ),Einfuhr
"""...""",1980,Biotreibstoffe (TJ),Ausfuhr
"""...""",1980,Biotreibstoffe (TJ),Saldo
9947,1980,Elektrizität (GWh),Einfuhr
18128,1980,Elektrizität (GWh),Ausfuhr
-8181,1980,Elektrizität (GWh),Saldo
220,1981,Holz und Holzkohle (TJ),Einfuhr
"""...""",1981,Holz und Holzkohle (TJ),Ausfuhr
"""...""",1981,Holz und Holzkohle (TJ),Saldo
11846,1981,"Rohöl, Erdölprodukte (in 1000 t)",Einfuhr
51,1981,"Rohöl, Erdölprodukte (in 1000 t)",Ausfuhr
11795,1981,"Rohöl, Erdölprodukte (in 1000 t)",Saldo
1033,1981,Kohle (in 1000 t),Einfuhr
1,1981,Kohle (in 1000 t),Ausfuhr
1032,1981,Kohle (in 1000 t),Saldo
39140,1981,Gas (TJ),Einfuhr
850,1981,Gas (TJ),Ausfuhr
38290,1981,Gas (TJ),Saldo
"""...""",1981,Biotreibstoffe (TJ),Einfuhr
"""...""",1981,Biotreibstoffe (TJ),Ausfuhr
"""...""",1981,Biotreibstoffe (TJ),Saldo
