Value,Jahr,Primärenergieträger,Einheit
17190,1910,Holz und Holzkohle,In TJ
16.27224536160545,1910,Holz und Holzkohle,Anteil in %
4500,1910,Wasserkraft,In TJ
4.259750094661113,1910,Wasserkraft,Anteil in %
"""...""",1910,Müll und Industrieabfälle,In TJ
"""...""",1910,Müll und Industrieabfälle,Anteil in %
83570,1910,Kohle,In TJ
79.10829231351761,1910,Kohle,Anteil in %
740,1910,Rohöl und Erdölprodukte,In TJ
0.700492237788716,1910,Rohöl und Erdölprodukte,Anteil in %
"""...""",1910,Gas,In TJ
"""...""",1910,Gas,Anteil in %
"""...""",1910,Kernbrennstoffe,In TJ
"""...""",1910,Kernbrennstoffe,Anteil in %
"""...""",1910,Übrige erneuerbare Energien,In TJ
"""...""",1910,Übrige erneuerbare Energien,Anteil in %
106000,1910,Gesamter Energieeinsatz,In TJ
100.3407800075729,1910,Gesamter Energieeinsatz,Anteil in %
-360,1910,Elektrizität Import / Export-Saldo,In TJ
-0.340780007572889,1910,Elektrizität Import / Export-Saldo,Anteil in %
105640,1910,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1910,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
17190,1911,Holz und Holzkohle,In TJ
14.92965085982283,1911,Holz und Holzkohle,Anteil in %
5400,1911,Wasserkraft,In TJ
4.689942678478374,1911,Wasserkraft,Anteil in %
"""...""",1911,Müll und Industrieabfälle,In TJ
"""...""",1911,Müll und Industrieabfälle,Anteil in %
92020,1911,Kohle,In TJ
79.92009727288519,1911,Kohle,Anteil in %
960,1911,Rohöl und Erdölprodukte,In TJ
0.833767587285044,1911,Rohöl und Erdölprodukte,Anteil in %
"""...""",1911,Gas,In TJ
"""...""",1911,Gas,Anteil in %
"""...""",1911,Kernbrennstoffe,In TJ
"""...""",1911,Kernbrennstoffe,Anteil in %
"""...""",1911,Übrige erneuerbare Energien,In TJ
"""...""",1911,Übrige erneuerbare Energien,Anteil in %
115570,1911,Gesamter Energieeinsatz,In TJ
100.3734583984714,1911,Gesamter Energieeinsatz,Anteil in %
-430,1911,Elektrizität Import / Export-Saldo,In TJ
-0.373458398471426,1911,Elektrizität Import / Export-Saldo,Anteil in %
115140,1911,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1911,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
17190,1912,Holz und Holzkohle,In TJ
14.64474356789913,1912,Holz und Holzkohle,Anteil in %
6120,1912,Wasserkraft,In TJ
5.213835406372466,1912,Wasserkraft,Anteil in %
"""...""",1912,Müll und Industrieabfälle,In TJ
"""...""",1912,Müll und Industrieabfälle,Anteil in %
93490,1912,Kohle,In TJ
79.64729936956893,1912,Kohle,Anteil in %
1010,1912,Rohöl und Erdölprodukte,In TJ
0.860453228829443,1912,Rohöl und Erdölprodukte,Anteil in %
"""...""",1912,Gas,In TJ
"""...""",1912,Gas,Anteil in %
"""...""",1912,Kernbrennstoffe,In TJ
"""...""",1912,Kernbrennstoffe,Anteil in %
"""...""",1912,Übrige erneuerbare Energien,In TJ
"""...""",1912,Übrige erneuerbare Energien,Anteil in %
117810,1912,Gesamter Energieeinsatz,In TJ
100.36633157267,1912,Gesamter Energieeinsatz,Anteil in %
-430,1912,Elektrizität Import / Export-Saldo,In TJ
-0.366331572669961,1912,Elektrizität Import / Export-Saldo,Anteil in %
117380,1912,Inländischer Bruttoenergieverbrauch = 100%,In TJ
100,1912,Inländischer Bruttoenergieverbrauch = 100%,Anteil in %
17190,1913,Holz und Holzkohle,In TJ
14.05560098119379,1913,Holz und Holzkohle,Anteil in %
6660,1913,Wasserkraft,In TJ
5.44562551103843,1913,Wasserkraft,Anteil in %
"""...""",1913,Müll und Industrieabfälle,In TJ
"""...""",1913,Müll und Industrieabfälle,Anteil in %
97890,1913,Kohle,In TJ
80.04088307440719,1913,Kohle,Anteil in %
1030,1913,Rohöl und Erdölprodukte,In TJ
0.842191332788226,1913,Rohöl und Erdölprodukte,Anteil in %
"""...""",1913,Gas,In TJ
"""...""",1913,Gas,Anteil in %
"""...""",1913,Kernbrennstoffe,In TJ
"""...""",1913,Kernbrennstoffe,Anteil in %
