Wert,Jahr,Kernkraftwerk,Erzeugung/ Arbeitsausnutzung
22298,1990,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
86.6,1990,Kernkraftwerke - Total,Arbeitsausnutzung in %
2540,1990,Beznau I,Elektrizitätserzeugung in GWh
83.3,1990,Beznau I,Arbeitsausnutzung in %
2617,1990,Beznau II,Elektrizitätserzeugung in GWh
85.5,1990,Beznau II,Arbeitsausnutzung in %
2489,1990,Mühleberg,Elektrizitätserzeugung in GWh
88.8,1990,Mühleberg,Arbeitsausnutzung in %
7080,1990,Gösgen,Elektrizitätserzeugung in GWh
86.7,1990,Gösgen,Arbeitsausnutzung in %
7572,1990,Leibstadt,Elektrizitätserzeugung in GWh
87.3,1990,Leibstadt,Arbeitsausnutzung in %
21654,1991,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
83.8,1991,Kernkraftwerke - Total,Arbeitsausnutzung in %
2474,1991,Beznau I,Elektrizitätserzeugung in GWh
81.2,1991,Beznau I,Arbeitsausnutzung in %
2601,1991,Beznau II,Elektrizitätserzeugung in GWh
84.9,1991,Beznau II,Arbeitsausnutzung in %
2423,1991,Mühleberg,Elektrizitätserzeugung in GWh
86.4,1991,Mühleberg,Arbeitsausnutzung in %
7096,1991,Gösgen,Elektrizitätserzeugung in GWh
86.9,1991,Gösgen,Arbeitsausnutzung in %
7060,1991,Leibstadt,Elektrizitätserzeugung in GWh
81.4,1991,Leibstadt,Arbeitsausnutzung in %
22121,1992,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
85.6,1992,Kernkraftwerke - Total,Arbeitsausnutzung in %
2456,1992,Beznau I,Elektrizitätserzeugung in GWh
80.3,1992,Beznau I,Arbeitsausnutzung in %
2354,1992,Beznau II,Elektrizitätserzeugung in GWh
76.6,1992,Beznau II,Arbeitsausnutzung in %
2421,1992,Mühleberg,Elektrizitätserzeugung in GWh
86.1,1992,Mühleberg,Arbeitsausnutzung in %
7352,1992,Gösgen,Elektrizitätserzeugung in GWh
89.8,1992,Gösgen,Arbeitsausnutzung in %
7538,1992,Leibstadt,Elektrizitätserzeugung in GWh
86.7,1992,Leibstadt,Arbeitsausnutzung in %
22029,1993,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
85.1,1993,Kernkraftwerke - Total,Arbeitsausnutzung in %
2145,1993,Beznau I,Elektrizitätserzeugung in GWh
70.3,1993,Beznau I,Arbeitsausnutzung in %
2617,1993,Beznau II,Elektrizitätserzeugung in GWh
85.5,1993,Beznau II,Arbeitsausnutzung in %
2580,1993,Mühleberg,Elektrizitätserzeugung in GWh
87.9,1993,Mühleberg,Arbeitsausnutzung in %
7349,1993,Gösgen,Elektrizitätserzeugung in GWh
90,1993,Gösgen,Arbeitsausnutzung in %
7338,1993,Leibstadt,Elektrizitätserzeugung in GWh
84.6,1993,Leibstadt,Arbeitsausnutzung in %
22984,1994,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
88.2,1994,Kernkraftwerke - Total,Arbeitsausnutzung in %
2668,1994,Beznau I,Elektrizitätserzeugung in GWh
87.5,1994,Beznau I,Arbeitsausnutzung in %
3052,1994,Beznau II,Elektrizitätserzeugung in GWh
99.6,1994,Beznau II,Arbeitsausnutzung in %
2654,1994,Mühleberg,Elektrizitätserzeugung in GWh
85.3,1994,Mühleberg,Arbeitsausnutzung in %
7614,1994,Gösgen,Elektrizitätserzeugung in GWh
93.2,1994,Gösgen,Arbeitsausnutzung in %
6996,1994,Leibstadt,Elektrizitätserzeugung in GWh
80.7,1994,Leibstadt,Arbeitsausnutzung in %
23486,1995,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
88.2,1995,Kernkraftwerke - Total,Arbeitsausnutzung in %
2823,1995,Beznau I,Elektrizitätserzeugung in GWh
92.6,1995,Beznau I,Arbeitsausnutzung in %
2553,1995,Beznau II,Elektrizitätserzeugung in GWh
83.3,1995,Beznau II,Arbeitsausnutzung in %
2668,1995,Mühleberg,Elektrizitätserzeugung in GWh
85.8,1995,Mühleberg,Arbeitsausnutzung in %
7765,1995,Gösgen,Elektrizitätserzeugung in GWh
92.5,1995,Gösgen,Arbeitsausnutzung in %
7677,1995,Leibstadt,Elektrizitätserzeugung in GWh
85.1,1995,Leibstadt,Arbeitsausnutzung in %
23719,1996,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
88.5,1996,Kernkraftwerke - Total,Arbeitsausnutzung in %
2728,1996,Beznau I,Elektrizitätserzeugung in GWh
88.3,1996,Beznau I,Arbeitsausnutzung in %
2747,1996,Beznau II,Elektrizitätserzeugung in GWh
88.9,1996,Beznau II,Arbeitsausnutzung in %
2659,1996,Mühleberg,Elektrizitätserzeugung in GWh
85.3,1996,Mühleberg,Arbeitsausnutzung in %
7872,1996,Gösgen,Elektrizitätserzeugung in GWh
93,1996,Gösgen,Arbeitsausnutzung in %
7713,1996,Leibstadt,Elektrizitätserzeugung in GWh
85.2,1996,Leibstadt,Arbeitsausnutzung in %
23971,1997,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
89.2,1997,Kernkraftwerke - Total,Arbeitsausnutzung in %
2688,1997,Beznau I,Elektrizitätserzeugung in GWh
84.5,1997,Beznau I,Arbeitsausnutzung in %
3083,1997,Beznau II,Elektrizitätserzeugung in GWh
98.7,1997,Beznau II,Arbeitsausnutzung in %
2561,1997,Mühleberg,Elektrizitätserzeugung in GWh
82.4,1997,Mühleberg,Arbeitsausnutzung in %
7850,1997,Gösgen,Elektrizitätserzeugung in GWh
93,1997,Gösgen,Arbeitsausnutzung in %
7789,1997,Leibstadt,Elektrizitätserzeugung in GWh
86.3,1997,Leibstadt,Arbeitsausnutzung in %
24368,1998,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
90.4,1998,Kernkraftwerke - Total,Arbeitsausnutzung in %
3157,1998,Beznau I,Elektrizitätserzeugung in GWh
99.3,1998,Beznau I,Arbeitsausnutzung in %
2711,1998,Beznau II,Elektrizitätserzeugung in GWh
86.7,1998,Beznau II,Arbeitsausnutzung in %
2670,1998,Mühleberg,Elektrizitätserzeugung in GWh
85.9,1998,Mühleberg,Arbeitsausnutzung in %
7783,1998,Gösgen,Elektrizitätserzeugung in GWh
92.3,1998,Gösgen,Arbeitsausnutzung in %
8047,1998,Leibstadt,Elektrizitätserzeugung in GWh
85.1,1998,Leibstadt,Arbeitsausnutzung in %
23523,1999,Kernkraftwerke - Total,Elektrizitätserzeugung in GWh
86.2,1999,Kernkraftwerke - Total,Arbeitsausnutzung in %
2810,1999,Beznau I,Elektrizitätserzeugung in GWh
88.4,1999,Beznau I,Arbeitsausnutzung in %
2210,1999,Beznau II,Elektrizitätserzeugung in GWh
