Wert,Jahr,Produktion und Eigenverbrauch
3551,1970,Heizöl (Total)
1922,1970,Heizöl extraleicht
207,1970,Heizöl mittel
1422,1970,Heizöl schwer
1206,1970,Treibstoffe (Total)
622,1970,Superbenzin
222,1970,Normalbenzin
135,1970,Flugpetrol
227,1970,Diesel
177,1970,Übrige energetische Produkte
147,1970,Nicht energetische Produkte
224,1970,Eigenverbrauch
4857,1970,Netto-Ausstoss
44.7,1970,Deckung des Bedarfs (%)
3558,1971,Heizöl (Total)
1913,1971,Heizöl extraleicht
170,1971,Heizöl mittel
1475,1971,Heizöl schwer
1201,1971,Treibstoffe (Total)
637,1971,Superbenzin
198,1971,Normalbenzin
121,1971,Flugpetrol
245,1971,Diesel
183,1971,Übrige energetische Produkte
133,1971,Nicht energetische Produkte
224,1971,Eigenverbrauch
4851,1971,Netto-Ausstoss
41.9,1971,Deckung des Bedarfs (%)
3642,1972,Heizöl (Total)
1955,1972,Heizöl extraleicht
177,1972,Heizöl mittel
1510,1972,Heizöl schwer
1070,1972,Treibstoffe (Total)
584,1972,Superbenzin
143,1972,Normalbenzin
115,1972,Flugpetrol
228,1972,Diesel
178,1972,Übrige energetische Produkte
159,1972,Nicht energetische Produkte
234,1972,Eigenverbrauch
4815,1972,Netto-Ausstoss
40.6,1972,Deckung des Bedarfs (%)
4175,1973,Heizöl (Total)
2107,1973,Heizöl extraleicht
209,1973,Heizöl mittel
1859,1973,Heizöl schwer
1313,1973,Treibstoffe (Total)
718,1973,Superbenzin
210,1973,Normalbenzin
127,1973,Flugpetrol
258,1973,Diesel
223,1973,Übrige energetische Produkte
173,1973,Nicht energetische Produkte
260,1973,Eigenverbrauch
5624,1973,Netto-Ausstoss
41.5,1973,Deckung des Bedarfs (%)
3890,1974,Heizöl (Total)
2174,1974,Heizöl extraleicht
141,1974,Heizöl mittel
1575,1974,Heizöl schwer
1378,1974,Treibstoffe (Total)
786,1974,Superbenzin
187,1974,Normalbenzin
142,1974,Flugpetrol
263,1974,Diesel
223,1974,Übrige energetische Produkte
186,1974,Nicht energetische Produkte
267,1974,Eigenverbrauch
5410,1974,Netto-Ausstoss
47,1974,Deckung des Bedarfs (%)
2868,1975,Heizöl (Total)
1719,1975,Heizöl extraleicht
