category,filename,datum_column,source_url,download_url,title
energy,endverbraucher_ausgaben_fuer_energie_in_millionen_franken.csv,CHF MM,https://opendata.swiss/en/dataset/endverbraucher-ausgaben-fur-energie-in-millionen-franken,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0804010000_101,Endverbraucher-Ausgaben für Energie in Millionen Franken
energy,endenergieverbrauch_nach_energietraegern.csv,Wert,https://opendata.swiss/en/dataset/endenergieverbrauch-nach-energietragern,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0803010000_101,Endenergieverbrauch nach Energieträgern
energy,kernkraftwerke_der_schweiz_elektrizitaetserzeugung_und_arbeitsnutzung.csv,Wert,https://opendata.swiss/en/dataset/kernkraftwerke-der-schweiz-elektrizitatserzeugung-und-arbeitsnutzung,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0802040000_102,Kernkraftwerke der Schweiz: Elektrizitätserzeugung und Arbeitsnutzung
energy,elektrizitaetserzeugung_in_gwh.csv,GWh,https://opendata.swiss/en/dataset/elektrizitatserzeugung-in-gwh,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0802040000_101,Elektrizitätserzeugung in GWh
energy,produktion_der_erdoelraffinerien_inland.csv,Wert,https://opendata.swiss/en/dataset/produktion-der-erdolraffinerien-inland,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0802030000_101,Produktion der Erdölraffinerien (Inland)
energy,ausfuhr_und_einfuhr_elektrischer_energie_in_gwh_inbegriffen_austauschenergie_nach_hydrologischem_jahr.csv,GWh,https://opendata.swiss/en/dataset/ausfuhr-und-einfuhr-elektrischer-energie-in-gwh-inbegriffen-austauschenergie-nach-hydrologischem-jah,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0802020000_103,Ausfuhr und Einfuhr elektrischer Energie in GWh (inbegriffen Austauschenergie) nach hydrologischem Jahr
energy,ausfuhr_und_einfuhr_elektrischer_energie_in_gwh_inbegriffen_austauschenergie_nach_kalendarjahr.csv,GWh,https://opendata.swiss/en/dataset/ausfuhr-und-einfuhr-elektrischer-energie-in-gwh-inbegriffen-austauschenergie-nach-kalendarjahr,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0802020000_102,Ausfuhr und Einfuhr elektrischer Energie in GWh (inbegriffen Austauschenergie) nach Kalendarjahr
energy,energieeinfuhr_und_ausfuhr.csv,Wert,https://opendata.swiss/en/dataset/energieeinfuhr-und-ausfuhr,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0802020000_101,Energieeinfuhr und -ausfuhr
energy,gross_energy_consumption_share_of_primary_energy_carriers.csv,Value,https://opendata.swiss/en/dataset/bruttoenergieverbrauch-anteil-der-primarenergietrager,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0802010000_101,Gross energy consumption: Share of primary energy carriers
work_income,foreign_cross_border_commuters_by_gender_canton_of_work_and_age_class.csv,Value,https://opendata.swiss/en/dataset/foreign-cross-border-commuters-by-gender-canton-of-work-and-age-class,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0302010000_108,"Foreign cross-border commuters by gender, canton of work and age class"
work_income,auslaendische_grenzgaenger_nach_geschlecht_arbeitskanton_erwerbsstatus_und_aufenthaltsdauer.csv,Wert,https://opendata.swiss/en/dataset/auslandische-grenzgangerinnen-nach-geschlecht-arbeitskanton-erwerbsstatus-und-aufenthaltsdauer,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0302010000_107,"Ausländische Grenzgänger/innen nach Geschlecht, Arbeitskanton, Erwerbsstatus und Aufenthaltsdauer"
work_income,auslaendische_grenzgaenger_nach_erwerbsstatus_und_wirtschaftssektoren_abschnitten_und_abteilungen.csv,Wert,https://opendata.swiss/en/dataset/auslandische-grenzgangerinnen-nach-erwerbsstatus-und-wirtschaftssektoren-abschnitten-und-abteilungen,https://www.pxweb.bfs.admin.ch/DownloadFile.aspx?file=px-x-0302010000_106,"Ausländische Grenzgänger/innen nach Erwerbsstatus und Wirtschaftssektoren, -abschnitten und -abteilungen"
