Wert,Erwerbsstatus,Wirtschaftsabschnitt,Quartal
160098.8,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2002Q1
161224.6,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2002Q2
162454.6,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2002Q3
163329.6,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2002Q4
165276.1,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2003Q1
166965.4,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2003Q2
168610.8,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2003Q3
168457.1,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2003Q4
170089.4,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2004Q1
175679.7,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2004Q2
173587.1,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2004Q3
173783,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2004Q4
176058.3,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2005Q1
176524.3,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2005Q2
175327.9,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2005Q3
177767.3,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2005Q4
180534,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2006Q1
185173.8,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2006Q2
191016.3,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2006Q3
194184.5,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2006Q4
198722.7,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2007Q1
204175.5,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2007Q2
207363.8,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2007Q3
208317.2,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2007Q4
212019.1,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2008Q1
216292.7,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2008Q2
217011,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2008Q3
216365.3,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2008Q4
217947.8,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2009Q1
221038.8,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2009Q2
220455.3,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2009Q3
221553.1,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2009Q4
225291.9,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2010Q1
231093.2,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2010Q2
233112.1,Erwerbsstatus - Total,Wirtschaftsabschnitt - Total,2010Q3
