Wert,Geschlecht,Arbeitskanton,Erwerbsstatus,Aufenthaltsdauer,Quartal
161224.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2002Q2
162454.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2002Q3
163329.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2002Q4
165276.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2003Q1
166965.4,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2003Q2
168610.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2003Q3
168457.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2003Q4
170089.4,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2004Q1
175679.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2004Q2
173587.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2004Q3
173783,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2004Q4
176058.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2005Q1
176524.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2005Q2
175327.9,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2005Q3
177767.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2005Q4
180534,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2006Q1
185173.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2006Q2
191016.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2006Q3
194184.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2006Q4
198722.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2007Q1
204175.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2007Q2
207363.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2007Q3
208317.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2007Q4
212019.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2008Q1
216292.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2008Q2
217011,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2008Q3
216365.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2008Q4
217947.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2009Q1
221038.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2009Q2
220455.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2009Q3
221553.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2009Q4
225291.9,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2010Q1
231093.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2010Q2
233112.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2010Q3
234394.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2010Q4
238581.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2011Q1
244968.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2011Q2
250269,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2011Q3
251659.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2011Q4
256409.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2012Q1
261283.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2012Q2
266032.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2012Q3
267757.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2012Q4
269096.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2013Q1
277914.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2013Q2
282115.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2013Q3
281907.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2013Q4
284776.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2014Q1
289325.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2014Q2
292264.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2014Q3
296185.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2014Q4
298206.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2015Q1
301247.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2015Q2
303561.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2015Q3
307143.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2015Q4
309292.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2016Q1
311241.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2016Q2
314109.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,Aufenthaltsdauer - Total,2016Q3
1099.9,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2002Q2
1262.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2002Q3
1037.4,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2002Q4
1444.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2003Q1
2031.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2003Q2
2064.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2003Q3
1236.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2003Q4
1599.9,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2004Q1
1949.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2004Q2
1823.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2004Q3
1202.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2004Q4
1597.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2005Q1
1898.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2005Q2
1958.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2005Q3
1616.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2005Q4
2032.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2006Q1
2442.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2006Q2
2550.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2006Q3
1923.9,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2006Q4
2426.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2007Q1
2780.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2007Q2
2776.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2007Q3
1989.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2007Q4
2404.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2008Q1
2857.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2008Q2
2941.9,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2008Q3
2160.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2008Q4
2442.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2009Q1
2745.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2009Q2
2481,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2009Q3
1816.4,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2009Q4
2406.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2010Q1
3198.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2010Q2
3244.2,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2010Q3
2363.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2010Q4
3118.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2011Q1
3862.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2011Q2
3814,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2011Q3
2849.8,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2011Q4
3574.1,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2012Q1
4116.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2012Q2
3963,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2012Q3
2961.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2012Q4
3753.5,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2013Q1
5009.6,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2013Q2
4959.3,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2013Q3
3875.7,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2013Q4
4553,Geschlecht - Total,Schweiz,Erwerbsstatus - Total,<12 Monate,2014Q1
