Value,Geschlecht,Arbeitskanton,Altersklasse,Quartal
134655.6,Geschlecht - Total,Schweiz,Altersklasse - Total,1999Q1
135095.1,Geschlecht - Total,Schweiz,Altersklasse - Total,1999Q2
136035.2,Geschlecht - Total,Schweiz,Altersklasse - Total,1999Q3
136807.8,Geschlecht - Total,Schweiz,Altersklasse - Total,1999Q4
138676.9,Geschlecht - Total,Schweiz,Altersklasse - Total,2000Q1
141792.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2000Q2
144758.9,Geschlecht - Total,Schweiz,Altersklasse - Total,2000Q3
147254.2,Geschlecht - Total,Schweiz,Altersklasse - Total,2000Q4
150632.3,Geschlecht - Total,Schweiz,Altersklasse - Total,2001Q1
154786.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2001Q2
157382.6,Geschlecht - Total,Schweiz,Altersklasse - Total,2001Q3
158590.5,Geschlecht - Total,Schweiz,Altersklasse - Total,2001Q4
160098.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2002Q1
161224.6,Geschlecht - Total,Schweiz,Altersklasse - Total,2002Q2
162454.6,Geschlecht - Total,Schweiz,Altersklasse - Total,2002Q3
163329.6,Geschlecht - Total,Schweiz,Altersklasse - Total,2002Q4
165276.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2003Q1
166965.4,Geschlecht - Total,Schweiz,Altersklasse - Total,2003Q2
168610.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2003Q3
168457.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2003Q4
170089.4,Geschlecht - Total,Schweiz,Altersklasse - Total,2004Q1
175679.7,Geschlecht - Total,Schweiz,Altersklasse - Total,2004Q2
173587.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2004Q3
173783,Geschlecht - Total,Schweiz,Altersklasse - Total,2004Q4
176058.3,Geschlecht - Total,Schweiz,Altersklasse - Total,2005Q1
176524.3,Geschlecht - Total,Schweiz,Altersklasse - Total,2005Q2
175327.9,Geschlecht - Total,Schweiz,Altersklasse - Total,2005Q3
177767.3,Geschlecht - Total,Schweiz,Altersklasse - Total,2005Q4
180534,Geschlecht - Total,Schweiz,Altersklasse - Total,2006Q1
185173.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2006Q2
191016.3,Geschlecht - Total,Schweiz,Altersklasse - Total,2006Q3
194184.5,Geschlecht - Total,Schweiz,Altersklasse - Total,2006Q4
198722.7,Geschlecht - Total,Schweiz,Altersklasse - Total,2007Q1
204175.5,Geschlecht - Total,Schweiz,Altersklasse - Total,2007Q2
207363.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2007Q3
208317.2,Geschlecht - Total,Schweiz,Altersklasse - Total,2007Q4
212019.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2008Q1
216292.7,Geschlecht - Total,Schweiz,Altersklasse - Total,2008Q2
217011,Geschlecht - Total,Schweiz,Altersklasse - Total,2008Q3
216365.3,Geschlecht - Total,Schweiz,Altersklasse - Total,2008Q4
217947.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2009Q1
221038.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2009Q2
220455.3,Geschlecht - Total,Schweiz,Altersklasse - Total,2009Q3
221553.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2009Q4
225291.9,Geschlecht - Total,Schweiz,Altersklasse - Total,2010Q1
231093.2,Geschlecht - Total,Schweiz,Altersklasse - Total,2010Q2
233112.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2010Q3
234394.6,Geschlecht - Total,Schweiz,Altersklasse - Total,2010Q4
238581.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2011Q1
244968.5,Geschlecht - Total,Schweiz,Altersklasse - Total,2011Q2
250269,Geschlecht - Total,Schweiz,Altersklasse - Total,2011Q3
251659.2,Geschlecht - Total,Schweiz,Altersklasse - Total,2011Q4
256409.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2012Q1
261283.6,Geschlecht - Total,Schweiz,Altersklasse - Total,2012Q2
266032.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2012Q3
267757.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2012Q4
269096.5,Geschlecht - Total,Schweiz,Altersklasse - Total,2013Q1
277914.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2013Q2
282115.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2013Q3
281907.7,Geschlecht - Total,Schweiz,Altersklasse - Total,2013Q4
284776.2,Geschlecht - Total,Schweiz,Altersklasse - Total,2014Q1
289325.7,Geschlecht - Total,Schweiz,Altersklasse - Total,2014Q2
292264.5,Geschlecht - Total,Schweiz,Altersklasse - Total,2014Q3
296185.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2014Q4
298206.2,Geschlecht - Total,Schweiz,Altersklasse - Total,2015Q1
301247.8,Geschlecht - Total,Schweiz,Altersklasse - Total,2015Q2
303561.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2015Q3
307143.3,Geschlecht - Total,Schweiz,Altersklasse - Total,2015Q4
309292.1,Geschlecht - Total,Schweiz,Altersklasse - Total,2016Q1
311241.3,Geschlecht - Total,Schweiz,Altersklasse - Total,2016Q2
314109.7,Geschlecht - Total,Schweiz,Altersklasse - Total,2016Q3
790.5,Geschlecht - Total,Schweiz,15-19 Jahre,1999Q1
939.3,Geschlecht - Total,Schweiz,15-19 Jahre,1999Q2
844.8,Geschlecht - Total,Schweiz,15-19 Jahre,1999Q3
912.3,Geschlecht - Total,Schweiz,15-19 Jahre,1999Q4
945.7,Geschlecht - Total,Schweiz,15-19 Jahre,2000Q1
1258.2,Geschlecht - Total,Schweiz,15-19 Jahre,2000Q2
1251.1,Geschlecht - Total,Schweiz,15-19 Jahre,2000Q3
1287.3,Geschlecht - Total,Schweiz,15-19 Jahre,2000Q4
1245.4,Geschlecht - Total,Schweiz,15-19 Jahre,2001Q1
1567.9,Geschlecht - Total,Schweiz,15-19 Jahre,2001Q2
1372,Geschlecht - Total,Schweiz,15-19 Jahre,2001Q3
1289,Geschlecht - Total,Schweiz,15-19 Jahre,2001Q4
1213.6,Geschlecht - Total,Schweiz,15-19 Jahre,2002Q1
1307.9,Geschlecht - Total,Schweiz,15-19 Jahre,2002Q2
1329,Geschlecht - Total,Schweiz,15-19 Jahre,2002Q3
1239.4,Geschlecht - Total,Schweiz,15-19 Jahre,2002Q4
1198.2,Geschlecht - Total,Schweiz,15-19 Jahre,2003Q1
1266.7,Geschlecht - Total,Schweiz,15-19 Jahre,2003Q2
1270.9,Geschlecht - Total,Schweiz,15-19 Jahre,2003Q3
1163.8,Geschlecht - Total,Schweiz,15-19 Jahre,2003Q4
1095.3,Geschlecht - Total,Schweiz,15-19 Jahre,2004Q1
1165.2,Geschlecht - Total,Schweiz,15-19 Jahre,2004Q2
1292.6,Geschlecht - Total,Schweiz,15-19 Jahre,2004Q3
1275.5,Geschlecht - Total,Schweiz,15-19 Jahre,2004Q4
1228.3,Geschlecht - Total,Schweiz,15-19 Jahre,2005Q1
1140.3,Geschlecht - Total,Schweiz,15-19 Jahre,2005Q2
1234.3,Geschlecht - Total,Schweiz,15-19 Jahre,2005Q3
1205.7,Geschlecht - Total,Schweiz,15-19 Jahre,2005Q4
1128.8,Geschlecht - Total,Schweiz,15-19 Jahre,2006Q1
