Wert,Jahr,Grossregion,Nettolohnhöhenklasse,Beschäftigungsgrad,Geschlecht
6.1,2002,Schweiz,0-  1000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
2.4,2002,Schweiz,0-  1000 Franken,Beschäftigungsgrad - Total,Mann
11.3,2002,Schweiz,0-  1000 Franken,Beschäftigungsgrad - Total,Frau
"""......""",2002,Schweiz,0-  1000 Franken,Vollzeit (>=90%),Geschlecht - Total
"""......""",2002,Schweiz,0-  1000 Franken,Vollzeit (>=90%),Mann
"""......""",2002,Schweiz,0-  1000 Franken,Vollzeit (>=90%),Frau
22,2002,Schweiz,0-  1000 Franken,Teilzeit (<90%),Geschlecht - Total
22.1,2002,Schweiz,0-  1000 Franken,Teilzeit (<90%),Mann
21.9,2002,Schweiz,0-  1000 Franken,Teilzeit (<90%),Frau
6.9,2002,Schweiz,1001-  2000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
2,2002,Schweiz,1001-  2000 Franken,Beschäftigungsgrad - Total,Mann
13.8,2002,Schweiz,1001-  2000 Franken,Beschäftigungsgrad - Total,Frau
0.2,2002,Schweiz,1001-  2000 Franken,Vollzeit (>=90%),Geschlecht - Total
0.1,2002,Schweiz,1001-  2000 Franken,Vollzeit (>=90%),Mann
0.4,2002,Schweiz,1001-  2000 Franken,Vollzeit (>=90%),Frau
24.2,2002,Schweiz,1001-  2000 Franken,Teilzeit (<90%),Geschlecht - Total
17.4,2002,Schweiz,1001-  2000 Franken,Teilzeit (<90%),Mann
26.2,2002,Schweiz,1001-  2000 Franken,Teilzeit (<90%),Frau
9.7,2002,Schweiz,2001-  3000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
3.7,2002,Schweiz,2001-  3000 Franken,Beschäftigungsgrad - Total,Mann
18.1,2002,Schweiz,2001-  3000 Franken,Beschäftigungsgrad - Total,Frau
4.3,2002,Schweiz,2001-  3000 Franken,Vollzeit (>=90%),Geschlecht - Total
2,2002,Schweiz,2001-  3000 Franken,Vollzeit (>=90%),Mann
10.1,2002,Schweiz,2001-  3000 Franken,Vollzeit (>=90%),Frau
23.9,2002,Schweiz,2001-  3000 Franken,Teilzeit (<90%),Geschlecht - Total
17.6,2002,Schweiz,2001-  3000 Franken,Teilzeit (<90%),Mann
25.6,2002,Schweiz,2001-  3000 Franken,Teilzeit (<90%),Frau
17.4,2002,Schweiz,3001-  4000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
12.8,2002,Schweiz,3001-  4000 Franken,Beschäftigungsgrad - Total,Mann
23.8,2002,Schweiz,3001-  4000 Franken,Beschäftigungsgrad - Total,Frau
18.4,2002,Schweiz,3001-  4000 Franken,Vollzeit (>=90%),Geschlecht - Total
12.3,2002,Schweiz,3001-  4000 Franken,Vollzeit (>=90%),Mann
34,2002,Schweiz,3001-  4000 Franken,Vollzeit (>=90%),Frau
15,2002,Schweiz,3001-  4000 Franken,Teilzeit (<90%),Geschlecht - Total
17.3,2002,Schweiz,3001-  4000 Franken,Teilzeit (<90%),Mann
14.3,2002,Schweiz,3001-  4000 Franken,Teilzeit (<90%),Frau
21.7,2002,Schweiz,4001-  5000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
26.2,2002,Schweiz,4001-  5000 Franken,Beschäftigungsgrad - Total,Mann
15.5,2002,Schweiz,4001-  5000 Franken,Beschäftigungsgrad - Total,Frau
26.8,2002,Schweiz,4001-  5000 Franken,Vollzeit (>=90%),Geschlecht - Total
27.8,2002,Schweiz,4001-  5000 Franken,Vollzeit (>=90%),Mann
24.3,2002,Schweiz,4001-  5000 Franken,Vollzeit (>=90%),Frau
8.6,2002,Schweiz,4001-  5000 Franken,Teilzeit (<90%),Geschlecht - Total
13,2002,Schweiz,4001-  5000 Franken,Teilzeit (<90%),Mann
7.3,2002,Schweiz,4001-  5000 Franken,Teilzeit (<90%),Frau
14.8,2002,Schweiz,5001-  6000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
19.3,2002,Schweiz,5001-  6000 Franken,Beschäftigungsgrad - Total,Mann
8.6,2002,Schweiz,5001-  6000 Franken,Beschäftigungsgrad - Total,Frau
19.1,2002,Schweiz,5001-  6000 Franken,Vollzeit (>=90%),Geschlecht - Total
20.8,2002,Schweiz,5001-  6000 Franken,Vollzeit (>=90%),Mann
14.6,2002,Schweiz,5001-  6000 Franken,Vollzeit (>=90%),Frau
3.7,2002,Schweiz,5001-  6000 Franken,Teilzeit (<90%),Geschlecht - Total
6.2,2002,Schweiz,5001-  6000 Franken,Teilzeit (<90%),Mann
3,2002,Schweiz,5001-  6000 Franken,Teilzeit (<90%),Frau
8.6,2002,Schweiz,6001-  7000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
11.8,2002,Schweiz,6001-  7000 Franken,Beschäftigungsgrad - Total,Mann
4.2,2002,Schweiz,6001-  7000 Franken,Beschäftigungsgrad - Total,Frau
11.4,2002,Schweiz,6001-  7000 Franken,Vollzeit (>=90%),Geschlecht - Total
12.9,2002,Schweiz,6001-  7000 Franken,Vollzeit (>=90%),Mann
7.6,2002,Schweiz,6001-  7000 Franken,Vollzeit (>=90%),Frau
1.4,2002,Schweiz,6001-  7000 Franken,Teilzeit (<90%),Geschlecht - Total
3,2002,Schweiz,6001-  7000 Franken,Teilzeit (<90%),Mann
1,2002,Schweiz,6001-  7000 Franken,Teilzeit (<90%),Frau
5,2002,Schweiz,7001-  8000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
7.2,2002,Schweiz,7001-  8000 Franken,Beschäftigungsgrad - Total,Mann
2.1,2002,Schweiz,7001-  8000 Franken,Beschäftigungsgrad - Total,Frau
6.7,2002,Schweiz,7001-  8000 Franken,Vollzeit (>=90%),Geschlecht - Total
7.8,2002,Schweiz,7001-  8000 Franken,Vollzeit (>=90%),Mann
3.9,2002,Schweiz,7001-  8000 Franken,Vollzeit (>=90%),Frau
0.6,2002,Schweiz,7001-  8000 Franken,Teilzeit (<90%),Geschlecht - Total
1.6,2002,Schweiz,7001-  8000 Franken,Teilzeit (<90%),Mann
0.4,2002,Schweiz,7001-  8000 Franken,Teilzeit (<90%),Frau
3.1,2002,Schweiz,8001-  9000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
4.5,2002,Schweiz,8001-  9000 Franken,Beschäftigungsgrad - Total,Mann
1,2002,Schweiz,8001-  9000 Franken,Beschäftigungsgrad - Total,Frau
4.2,2002,Schweiz,8001-  9000 Franken,Vollzeit (>=90%),Geschlecht - Total
5,2002,Schweiz,8001-  9000 Franken,Vollzeit (>=90%),Mann
2,2002,Schweiz,8001-  9000 Franken,Vollzeit (>=90%),Frau
0.3,2002,Schweiz,8001-  9000 Franken,Teilzeit (<90%),Geschlecht - Total
0.7,2002,Schweiz,8001-  9000 Franken,Teilzeit (<90%),Mann
0.2,2002,Schweiz,8001-  9000 Franken,Teilzeit (<90%),Frau
2,2002,Schweiz,9001-10000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
3.1,2002,Schweiz,9001-10000 Franken,Beschäftigungsgrad - Total,Mann
0.6,2002,Schweiz,9001-10000 Franken,Beschäftigungsgrad - Total,Frau
2.7,2002,Schweiz,9001-10000 Franken,Vollzeit (>=90%),Geschlecht - Total
3.4,2002,Schweiz,9001-10000 Franken,Vollzeit (>=90%),Mann
1.1,2002,Schweiz,9001-10000 Franken,Vollzeit (>=90%),Frau
0.1,2002,Schweiz,9001-10000 Franken,Teilzeit (<90%),Geschlecht - Total
0.4,2002,Schweiz,9001-10000 Franken,Teilzeit (<90%),Mann
0.1,2002,Schweiz,9001-10000 Franken,Teilzeit (<90%),Frau
1.3,2002,Schweiz,10001-11000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
2,2002,Schweiz,10001-11000 Franken,Beschäftigungsgrad - Total,Mann
0.3,2002,Schweiz,10001-11000 Franken,Beschäftigungsgrad - Total,Frau
1.8,2002,Schweiz,10001-11000 Franken,Vollzeit (>=90%),Geschlecht - Total
2.2,2002,Schweiz,10001-11000 Franken,Vollzeit (>=90%),Mann
0.6,2002,Schweiz,10001-11000 Franken,Vollzeit (>=90%),Frau
0.1,2002,Schweiz,10001-11000 Franken,Teilzeit (<90%),Geschlecht - Total
0.2,2002,Schweiz,10001-11000 Franken,Teilzeit (<90%),Mann
0,2002,Schweiz,10001-11000 Franken,Teilzeit (<90%),Frau
0.8,2002,Schweiz,11001-12000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
1.3,2002,Schweiz,11001-12000 Franken,Beschäftigungsgrad - Total,Mann
0.2,2002,Schweiz,11001-12000 Franken,Beschäftigungsgrad - Total,Frau
1.1,2002,Schweiz,11001-12000 Franken,Vollzeit (>=90%),Geschlecht - Total
1.4,2002,Schweiz,11001-12000 Franken,Vollzeit (>=90%),Mann
0.4,2002,Schweiz,11001-12000 Franken,Vollzeit (>=90%),Frau
0,2002,Schweiz,11001-12000 Franken,Teilzeit (<90%),Geschlecht - Total
0.1,2002,Schweiz,11001-12000 Franken,Teilzeit (<90%),Mann
"""......""",2002,Schweiz,11001-12000 Franken,Teilzeit (<90%),Frau
0.6,2002,Schweiz,12001-13000 Franken,Beschäftigungsgrad - Total,Geschlecht - Total
0.9,2002,Schweiz,12001-13000 Franken,Beschäftigungsgrad - Total,Mann
0.1,2002,Schweiz,12001-13000 Franken,Beschäftigungsgrad - Total,Frau
0.8,2002,Schweiz,12001-13000 Franken,Vollzeit (>=90%),Geschlecht - Total
