Wert,Jahr,Grossregion,Ausbildung,Berufliche Stellung,Geschlecht,Zentralwert und Quartilbereich
5398,2002,Schweiz,Ausbildung - Total,Berufliche Stellung - Total,Geschlecht - Total,Median
4316,2002,Schweiz,Ausbildung - Total,Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
6960,2002,Schweiz,Ausbildung - Total,Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
5785,2002,Schweiz,Ausbildung - Total,Berufliche Stellung - Total,Mann,Median
4739,2002,Schweiz,Ausbildung - Total,Berufliche Stellung - Total,Mann,Int. 25%
7538,2002,Schweiz,Ausbildung - Total,Berufliche Stellung - Total,Mann,Int. 75%
4616,2002,Schweiz,Ausbildung - Total,Berufliche Stellung - Total,Frau,Median
3727,2002,Schweiz,Ausbildung - Total,Berufliche Stellung - Total,Frau,Int. 25%
5950,2002,Schweiz,Ausbildung - Total,Berufliche Stellung - Total,Frau,Int. 75%
8468,2002,Schweiz,Ausbildung - Total,Stellung 1+2,Geschlecht - Total,Median
6370,2002,Schweiz,Ausbildung - Total,Stellung 1+2,Geschlecht - Total,Int. 25%
11508,2002,Schweiz,Ausbildung - Total,Stellung 1+2,Geschlecht - Total,Int. 75%
8946,2002,Schweiz,Ausbildung - Total,Stellung 1+2,Mann,Median
6741,2002,Schweiz,Ausbildung - Total,Stellung 1+2,Mann,Int. 25%
12051,2002,Schweiz,Ausbildung - Total,Stellung 1+2,Mann,Int. 75%
6735,2002,Schweiz,Ausbildung - Total,Stellung 1+2,Frau,Median
5159,2002,Schweiz,Ausbildung - Total,Stellung 1+2,Frau,Int. 25%
8901,2002,Schweiz,Ausbildung - Total,Stellung 1+2,Frau,Int. 75%
6542,2002,Schweiz,Ausbildung - Total,Stellung 3,Geschlecht - Total,Median
5159,2002,Schweiz,Ausbildung - Total,Stellung 3,Geschlecht - Total,Int. 25%
8251,2002,Schweiz,Ausbildung - Total,Stellung 3,Geschlecht - Total,Int. 75%
6933,2002,Schweiz,Ausbildung - Total,Stellung 3,Mann,Median
5579,2002,Schweiz,Ausbildung - Total,Stellung 3,Mann,Int. 25%
8667,2002,Schweiz,Ausbildung - Total,Stellung 3,Mann,Int. 75%
5650,2002,Schweiz,Ausbildung - Total,Stellung 3,Frau,Median
4349,2002,Schweiz,Ausbildung - Total,Stellung 3,Frau,Int. 25%
7222,2002,Schweiz,Ausbildung - Total,Stellung 3,Frau,Int. 75%
5568,2002,Schweiz,Ausbildung - Total,Stellung 4,Geschlecht - Total,Median
4550,2002,Schweiz,Ausbildung - Total,Stellung 4,Geschlecht - Total,Int. 25%
6788,2002,Schweiz,Ausbildung - Total,Stellung 4,Geschlecht - Total,Int. 75%
5830,2002,Schweiz,Ausbildung - Total,Stellung 4,Mann,Median
4897,2002,Schweiz,Ausbildung - Total,Stellung 4,Mann,Int. 25%
7064,2002,Schweiz,Ausbildung - Total,Stellung 4,Mann,Int. 75%
4991,2002,Schweiz,Ausbildung - Total,Stellung 4,Frau,Median
4054,2002,Schweiz,Ausbildung - Total,Stellung 4,Frau,Int. 25%
6218,2002,Schweiz,Ausbildung - Total,Stellung 4,Frau,Int. 75%
4936,2002,Schweiz,Ausbildung - Total,Ohne Kaderfunktion,Geschlecht - Total,Median
4024,2002,Schweiz,Ausbildung - Total,Ohne Kaderfunktion,Geschlecht - Total,Int. 25%
6016,2002,Schweiz,Ausbildung - Total,Ohne Kaderfunktion,Geschlecht - Total,Int. 75%
5248,2002,Schweiz,Ausbildung - Total,Ohne Kaderfunktion,Mann,Median
4439,2002,Schweiz,Ausbildung - Total,Ohne Kaderfunktion,Mann,Int. 25%
6311,2002,Schweiz,Ausbildung - Total,Ohne Kaderfunktion,Mann,Int. 75%
4333,2002,Schweiz,Ausbildung - Total,Ohne Kaderfunktion,Frau,Median
3595,2002,Schweiz,Ausbildung - Total,Ohne Kaderfunktion,Frau,Int. 25%
5457,2002,Schweiz,Ausbildung - Total,Ohne Kaderfunktion,Frau,Int. 75%
9274,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Berufliche Stellung - Total,Geschlecht - Total,Median
7123,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Berufliche Stellung - Total,Geschlecht - Total,Int. 25%
12186,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Berufliche Stellung - Total,Geschlecht - Total,Int. 75%
9888,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Berufliche Stellung - Total,Mann,Median
7596,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Berufliche Stellung - Total,Mann,Int. 25%
12988,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Berufliche Stellung - Total,Mann,Int. 75%
7742,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Berufliche Stellung - Total,Frau,Median
6183,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Berufliche Stellung - Total,Frau,Int. 25%
9802,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Berufliche Stellung - Total,Frau,Int. 75%
11749,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 1+2,Geschlecht - Total,Median
8938,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 1+2,Geschlecht - Total,Int. 25%
15834,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 1+2,Geschlecht - Total,Int. 75%
12229,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 1+2,Mann,Median
9517,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 1+2,Mann,Int. 25%
16494,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 1+2,Mann,Int. 75%
9208,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 1+2,Frau,Median
7153,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 1+2,Frau,Int. 25%
12300,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 1+2,Frau,Int. 75%
8969,2002,Schweiz,"Universitäre Hochschule (UNI, ETH)",Stellung 3,Geschlecht - Total,Median
