Wert,Jahr,Grossregion,Tätigkeit,Anforderungsniveau des Arbeitsplatzes,Geschlecht
5416,2002,Schweiz,Tätigkeit - Total,Anforderungsniveau - Total,Geschlecht - Total
5833,2002,Schweiz,Tätigkeit - Total,Anforderungsniveau - Total,Mann
4600,2002,Schweiz,Tätigkeit - Total,Anforderungsniveau - Total,Frau
7136,2002,Schweiz,Tätigkeit - Total,Niveau 1+2,Geschlecht - Total
7580,2002,Schweiz,Tätigkeit - Total,Niveau 1+2,Mann
6039,2002,Schweiz,Tätigkeit - Total,Niveau 1+2,Frau
5280,2002,Schweiz,Tätigkeit - Total,Niveau 3,Geschlecht - Total
5536,2002,Schweiz,Tätigkeit - Total,Niveau 3,Mann
4754,2002,Schweiz,Tätigkeit - Total,Niveau 3,Frau
4196,2002,Schweiz,Tätigkeit - Total,Niveau 4,Geschlecht - Total
4587,2002,Schweiz,Tätigkeit - Total,Niveau 4,Mann
3823,2002,Schweiz,Tätigkeit - Total,Niveau 4,Frau
5174,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Anforderungsniveau - Total,Geschlecht - Total
5334,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Anforderungsniveau - Total,Mann
3911,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Anforderungsniveau - Total,Frau
5868,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Niveau 1+2,Geschlecht - Total
5921,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Niveau 1+2,Mann
4710,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Niveau 1+2,Frau
5329,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Niveau 3,Geschlecht - Total
5403,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Niveau 3,Mann
4333,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Niveau 3,Frau
4448,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Niveau 4,Geschlecht - Total
4745,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Niveau 4,Mann
3705,2002,Schweiz,PRODUKTIONSNAHE TAETIGKEITEN,Niveau 4,Frau
4859,2002,Schweiz,Herstellen und bearbeiten von Produkten,Anforderungsniveau - Total,Geschlecht - Total
5180,2002,Schweiz,Herstellen und bearbeiten von Produkten,Anforderungsniveau - Total,Mann
3840,2002,Schweiz,Herstellen und bearbeiten von Produkten,Anforderungsniveau - Total,Frau
5729,2002,Schweiz,Herstellen und bearbeiten von Produkten,Niveau 1+2,Geschlecht - Total
5845,2002,Schweiz,Herstellen und bearbeiten von Produkten,Niveau 1+2,Mann
4588,2002,Schweiz,Herstellen und bearbeiten von Produkten,Niveau 1+2,Frau
5159,2002,Schweiz,Herstellen und bearbeiten von Produkten,Niveau 3,Geschlecht - Total
5310,2002,Schweiz,Herstellen und bearbeiten von Produkten,Niveau 3,Mann
4225,2002,Schweiz,Herstellen und bearbeiten von Produkten,Niveau 3,Frau
4220,2002,Schweiz,Herstellen und bearbeiten von Produkten,Niveau 4,Geschlecht - Total
4651,2002,Schweiz,Herstellen und bearbeiten von Produkten,Niveau 4,Mann
3674,2002,Schweiz,Herstellen und bearbeiten von Produkten,Niveau 4,Frau
5299,2002,Schweiz,Tätigkeiten im Baugewerbe,Anforderungsniveau - Total,Geschlecht - Total
5309,2002,Schweiz,Tätigkeiten im Baugewerbe,Anforderungsniveau - Total,Mann
4654,2002,Schweiz,Tätigkeiten im Baugewerbe,Anforderungsniveau - Total,Frau
5870,2002,Schweiz,Tätigkeiten im Baugewerbe,Niveau 1+2,Geschlecht - Total
5891,2002,Schweiz,Tätigkeiten im Baugewerbe,Niveau 1+2,Mann
5148,2002,Schweiz,Tätigkeiten im Baugewerbe,Niveau 1+2,Frau
5287,2002,Schweiz,Tätigkeiten im Baugewerbe,Niveau 3,Geschlecht - Total
5299,2002,Schweiz,Tätigkeiten im Baugewerbe,Niveau 3,Mann
4661,2002,Schweiz,Tätigkeiten im Baugewerbe,Niveau 3,Frau
4780,2002,Schweiz,Tätigkeiten im Baugewerbe,Niveau 4,Geschlecht - Total
4790,2002,Schweiz,Tätigkeiten im Baugewerbe,Niveau 4,Mann
4232,2002,Schweiz,Tätigkeiten im Baugewerbe,Niveau 4,Frau
5645,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Anforderungsniveau - Total,Geschlecht - Total
5708,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Anforderungsniveau - Total,Mann
4367,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Anforderungsniveau - Total,Frau
6100,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Niveau 1+2,Geschlecht - Total
6110,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Niveau 1+2,Mann
5242,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Niveau 1+2,Frau
5708,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Niveau 3,Geschlecht - Total
5736,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Niveau 3,Mann
4959,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Niveau 3,Frau
4815,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Niveau 4,Geschlecht - Total
5020,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Niveau 4,Mann
4008,2002,Schweiz,"Maschinen einrichten, bedienen, unterhalten",Niveau 4,Frau
4902,2002,Schweiz,"Restaurieren, Kunsthandwerk",Anforderungsniveau - Total,Geschlecht - Total
5200,2002,Schweiz,"Restaurieren, Kunsthandwerk",Anforderungsniveau - Total,Mann
4317,2002,Schweiz,"Restaurieren, Kunsthandwerk",Anforderungsniveau - Total,Frau
5313,2002,Schweiz,"Restaurieren, Kunsthandwerk",Niveau 1+2,Geschlecht - Total
5313,2002,Schweiz,"Restaurieren, Kunsthandwerk",Niveau 1+2,Mann
4605,2002,Schweiz,"Restaurieren, Kunsthandwerk",Niveau 1+2,Frau
4840,2002,Schweiz,"Restaurieren, Kunsthandwerk",Niveau 3,Geschlecht - Total
5113,2002,Schweiz,"Restaurieren, Kunsthandwerk",Niveau 3,Mann
4287,2002,Schweiz,"Restaurieren, Kunsthandwerk",Niveau 3,Frau
4488,2002,Schweiz,"Restaurieren, Kunsthandwerk",Niveau 4,Geschlecht - Total
4952,2002,Schweiz,"Restaurieren, Kunsthandwerk",Niveau 4,Mann
3872,2002,Schweiz,"Restaurieren, Kunsthandwerk",Niveau 4,Frau
5607,2002,Schweiz,DIENSTLEISTUNGEN,Anforderungsniveau - Total,Geschlecht - Total
6588,2002,Schweiz,DIENSTLEISTUNGEN,Anforderungsniveau - Total,Mann
4754,2002,Schweiz,DIENSTLEISTUNGEN,Anforderungsniveau - Total,Frau
7601,2002,Schweiz,DIENSTLEISTUNGEN,Niveau 1+2,Geschlecht - Total
8370,2002,Schweiz,DIENSTLEISTUNGEN,Niveau 1+2,Mann
6087,2002,Schweiz,DIENSTLEISTUNGEN,Niveau 1+2,Frau
5215,2002,Schweiz,DIENSTLEISTUNGEN,Niveau 3,Geschlecht - Total
5746,2002,Schweiz,DIENSTLEISTUNGEN,Niveau 3,Mann
4796,2002,Schweiz,DIENSTLEISTUNGEN,Niveau 3,Frau
4000,2002,Schweiz,DIENSTLEISTUNGEN,Niveau 4,Geschlecht - Total
4292,2002,Schweiz,DIENSTLEISTUNGEN,Niveau 4,Mann
3868,2002,Schweiz,DIENSTLEISTUNGEN,Niveau 4,Frau
10527,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Anforderungsniveau - Total,Geschlecht - Total
11013,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Anforderungsniveau - Total,Mann
8000,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Anforderungsniveau - Total,Frau
10917,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Niveau 1+2,Geschlecht - Total
11267,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Niveau 1+2,Mann
8730,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Niveau 1+2,Frau
6576,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Niveau 3,Geschlecht - Total
6937,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Niveau 3,Mann
6171,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Niveau 3,Frau
4785,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Niveau 4,Geschlecht - Total
5005,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Niveau 4,Mann
4612,2002,Schweiz,Ziel- und Strategiedefinition von Unternehmen,Niveau 4,Frau
6659,2002,Schweiz,Rechnungs- und Personalwesen,Anforderungsniveau - Total,Geschlecht - Total
8089,2002,Schweiz,Rechnungs- und Personalwesen,Anforderungsniveau - Total,Mann
5932,2002,Schweiz,Rechnungs- und Personalwesen,Anforderungsniveau - Total,Frau
7606,2002,Schweiz,Rechnungs- und Personalwesen,Niveau 1+2,Geschlecht - Total
