Wert,Jahr,Grossregion,Staatsangehörigkeit / Anwesenheitsbewilligung,Anforderungsniveau des Arbeitsplatzes,Geschlecht,Zentralwert und Quartilbereich
5417,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Geschlecht - Total,Median
4333,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
7015,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
5836,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Mann,Median
4770,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Mann,Int. 25%
7635,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Mann,Int. 75%
4625,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Frau,Median
3753,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Frau,Int. 25%
5954,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Anforderungsniveau - Total,Frau,Int. 75%
7167,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Geschlecht - Total,Median
5567,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Geschlecht - Total,Int. 25%
9458,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Geschlecht - Total,Int. 75%
7609,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Mann,Median
5907,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Mann,Int. 25%
10015,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Mann,Int. 75%
6062,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Frau,Median
4754,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Frau,Int. 25%
7719,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 1+2,Frau,Int. 75%
5304,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Geschlecht - Total,Median
4384,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Geschlecht - Total,Int. 25%
6371,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Geschlecht - Total,Int. 75%
5559,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Mann,Median
4721,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Mann,Int. 25%
6605,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Mann,Int. 75%
4787,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Frau,Median
3902,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Frau,Int. 25%
5903,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 3,Frau,Int. 75%
4230,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Geschlecht - Total,Median
3567,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Geschlecht - Total,Int. 25%
5000,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Geschlecht - Total,Int. 75%
4623,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Mann,Median
3943,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Mann,Int. 25%
5253,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Mann,Int. 75%
3845,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Frau,Median
3361,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Frau,Int. 25%
4494,2002,Schweiz,SchweizerInnen/AusländerInnen - Total,Niveau 4,Frau,Int. 75%
5731,2002,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Median
4587,2002,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Int. 25%
7384,2002,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Geschlecht - Total,Int. 75%
6263,2002,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Mann,Median
5098,2002,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Mann,Int. 25%
8125,2002,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Mann,Int. 75%
4869,2002,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Frau,Median
3947,2002,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Frau,Int. 25%
6122,2002,Schweiz,SCHWEIZER/INNEN,Anforderungsniveau - Total,Frau,Int. 75%
