Wert,Szenario-Variante,Jahr,Staatsangehörigkeit,Variable
33.19,A-00-2015,2014,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
38.39,A-00-2015,2014,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
40.53,A-00-2015,2014,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
47.7,A-00-2015,2014,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
13.22,A-00-2015,2014,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
14.61,A-00-2015,2014,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
33.63,A-00-2015,2015,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
38.84,A-00-2015,2015,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
41.28,A-00-2015,2015,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
48.51,A-00-2015,2015,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
13.49,A-00-2015,2015,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
14.89,A-00-2015,2015,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
34.05,A-00-2015,2016,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
39.25,A-00-2015,2016,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
41.95,A-00-2015,2016,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
49.23,A-00-2015,2016,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
13.73,A-00-2015,2016,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
15.14,A-00-2015,2016,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
34.58,A-00-2015,2017,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
39.81,A-00-2015,2017,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
42.7,A-00-2015,2017,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
50.05,A-00-2015,2017,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
14.08,A-00-2015,2017,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
15.52,A-00-2015,2017,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
35.11,A-00-2015,2018,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
40.36,A-00-2015,2018,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
43.46,A-00-2015,2018,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
50.87,A-00-2015,2018,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
14.43,A-00-2015,2018,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
15.89,A-00-2015,2018,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
35.7,A-00-2015,2019,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
40.99,A-00-2015,2019,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
44.29,A-00-2015,2019,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
51.76,A-00-2015,2019,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
14.85,A-00-2015,2019,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
16.34,A-00-2015,2019,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
36.34,A-00-2015,2020,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
41.67,A-00-2015,2020,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
45.16,A-00-2015,2020,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
52.72,A-00-2015,2020,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
15.3,A-00-2015,2020,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
16.83,A-00-2015,2020,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
37.08,A-00-2015,2021,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
42.46,A-00-2015,2021,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
46.18,A-00-2015,2021,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
53.84,A-00-2015,2021,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
15.78,A-00-2015,2021,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
17.34,A-00-2015,2021,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
37.87,A-00-2015,2022,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
43.31,A-00-2015,2022,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
47.27,A-00-2015,2022,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
55.06,A-00-2015,2022,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
16.28,A-00-2015,2022,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
17.88,A-00-2015,2022,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
38.71,A-00-2015,2023,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
44.22,A-00-2015,2023,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
48.42,A-00-2015,2023,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
56.34,A-00-2015,2023,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
16.82,A-00-2015,2023,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
18.46,A-00-2015,2023,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
39.6,A-00-2015,2024,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
45.19,A-00-2015,2024,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
49.64,A-00-2015,2024,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
57.69,A-00-2015,2024,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
17.4,A-00-2015,2024,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
19.09,A-00-2015,2024,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
40.54,A-00-2015,2025,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
46.21,A-00-2015,2025,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
50.91,A-00-2015,2025,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
59.11,A-00-2015,2025,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
18.06,A-00-2015,2025,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
19.79,A-00-2015,2025,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
41.54,A-00-2015,2026,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
47.3,A-00-2015,2026,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
52.25,A-00-2015,2026,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
60.62,A-00-2015,2026,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
18.71,A-00-2015,2026,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
20.5,A-00-2015,2026,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
42.6,A-00-2015,2027,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
48.47,A-00-2015,2027,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
53.68,A-00-2015,2027,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
62.23,A-00-2015,2027,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
19.43,A-00-2015,2027,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
21.27,A-00-2015,2027,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
43.73,A-00-2015,2028,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
49.71,A-00-2015,2028,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
55.19,A-00-2015,2028,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
63.95,A-00-2015,2028,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
20.17,A-00-2015,2028,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
22.08,A-00-2015,2028,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
44.9,A-00-2015,2029,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
51,A-00-2015,2029,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
56.74,A-00-2015,2029,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
65.7,A-00-2015,2029,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
20.98,A-00-2015,2029,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
22.94,A-00-2015,2029,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
45.97,A-00-2015,2030,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
52.18,A-00-2015,2030,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
58.16,A-00-2015,2030,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
67.31,A-00-2015,2030,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
21.74,A-00-2015,2030,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
23.76,A-00-2015,2030,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
47.01,A-00-2015,2031,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
53.31,A-00-2015,2031,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
59.51,A-00-2015,2031,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
68.84,A-00-2015,2031,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
22.52,A-00-2015,2031,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
24.61,A-00-2015,2031,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
47.95,A-00-2015,2032,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
54.34,A-00-2015,2032,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
60.7,A-00-2015,2032,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
70.17,A-00-2015,2032,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
23.3,A-00-2015,2032,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
25.45,A-00-2015,2032,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
48.84,A-00-2015,2033,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
55.32,A-00-2015,2033,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
61.79,A-00-2015,2033,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
71.39,A-00-2015,2033,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
24.1,A-00-2015,2033,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
26.31,A-00-2015,2033,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
49.67,A-00-2015,2034,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
56.22,A-00-2015,2034,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
62.73,A-00-2015,2034,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
72.43,A-00-2015,2034,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
24.91,A-00-2015,2034,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
27.19,A-00-2015,2034,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
50.41,A-00-2015,2035,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
57.03,A-00-2015,2035,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
63.49,A-00-2015,2035,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
73.26,A-00-2015,2035,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
25.76,A-00-2015,2035,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
28.11,A-00-2015,2035,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
51.1,A-00-2015,2036,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
57.79,A-00-2015,2036,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
64.12,A-00-2015,2036,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
73.95,A-00-2015,2036,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
26.65,A-00-2015,2036,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
29.07,A-00-2015,2036,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
51.72,A-00-2015,2037,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
58.46,A-00-2015,2037,Staatsangehörigkeit - Total,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
64.55,A-00-2015,2037,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
74.41,A-00-2015,2037,Schweizer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
27.6,A-00-2015,2037,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen im Alter von 20-64 Jahren
30.1,A-00-2015,2037,Ausländer,Anzahl 65-Jährige und Ältere je 100 Erwerbspersonen in VZÄ im Alter von 20-64 Jahren
